Branch,ID,LoanApplicationID,ContractCustomerID,Account,Currency,Amount,Disbursed,ApprovedAmount,OutstandingAmount,DisbursedStat,ValueDate,Installment,Term,Cycle,MaturityDate,LoanProduct,Category,InterestRate,IRR,FreqType,Frequency,DeliqMode,LoanPurpose,ContractVB,Group,SourceOfFund,TotalInterest,AccrInterest,AccrCurrentInt,AccrIntCurrMonth,AccrIntPreMonth,IntIncEarned,AccrIntPerDay,NextAccrDate,Suspend,ContractOfficerID,LoanType,AssetClass,MoreThanOneYear,NextRunDate,Penalty,FirstCollectionDate,Classification,Sector,Industry,Ownership,LoanStatus,ClosedDate,WatchDay,FirstDueDate,MinAssetClass,DoneWatchDay,Vendor,OutstandingAmountAS,RepoStatus,AssetPrice,InstallmentAmount,DueDate
HO,LC23022300017,LA23022300015,CU001636,DD002187,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1716.48,0,0,0,0,1145.27,0,,N,1012,N,15,Y,20/08/2024,Y,15/03/2023,A,,,,TMN,20/08/2024,0,15/07/2023,0,0,94049,0,,2750,125.96,15
HO,LC23022400001,LA23022300018,CU001675,DD002247,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1708.66,0,0,0,0,1323.231646,0,,N,1022,N,40,Y,30/12/2024,Y,15/03/2023,A,,,,WOF,30/12/2024,0,15/06/2023,0,0,94043,0,,2750,125.96,15
HO,LC23022400003,LA23022300016,CU001657,DD002226,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1696.2,0,0,0,0,480.9023143,0,,N,1008,N,0,Y,17/01/2024,Y,15/03/2023,A,,,,TMN,17/01/2024,0,,0,0,94043,0,RepoForSale,0,0,
HO,LC23022400004,LA23022200010,CU001487,DD002017,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1708.66,0,0,0,0,1323.231646,0,,N,1018,N,40,Y,30/12/2024,Y,15/03/2023,A,,,,WOF,30/12/2024,0,15/07/2023,0,0,94022,0,,2750,125.96,15
HO,LC23022400007,LA23022100020,CU001175,DD001497,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1708.66,0,0,0,0,1559.94,0,,N,1004,N,0,Y,13/12/2025,Y,15/03/2023,A,,,,TMN,13/12/2025,0,,0,0,94002,0,,2750,125.96,15
HO,LC23022400008,LA23022000005,CU000787,DD000933,USD,0,2300,2300,0,Y,24/02/2023,36,36,1,20/02/2026,102,123210005,18,,1,1,3,3,,,,1291.05,0,0,0,0,657.632135,0,,N,1023,N,0,Y,17/01/2024,Y,20/03/2023,A,,,,TMN,17/01/2024,0,,0,0,94039,0,RepoForSale,0,0,
HO,LC23022400009,LA23022300004,CU001549,DD002093,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1802.65,0,0,0,0,1388.808695,0,,N,1002,N,40,Y,30/12/2024,Y,15/03/2023,A,,,,WOF,30/12/2024,0,15/09/2023,0,0,94007,0,,2750,128.8,15
HO,LC23022400011,LA23022300013,CU001616,DD002174,USD,0,2750,2750,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1802.65,0,0,0,0,1586.8771,0,,N,1015,N,40,Y,28/07/2025,Y,15/03/2023,A,,,,WOF,28/07/2025,0,15/02/2024,0,0,94027,0,,2750,128.8,15
HO,LC23022400015,LA23022300009,CU001598,DD002157,USD,0,2950,2950,0,Y,24/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1833.18,0,0,0,0,1673.29,0,,N,1019,N,0,Y,11/12/2025,Y,15/03/2023,A,,,,TMN,11/12/2025,0,,0,0,94027,0,,2950,135.12,15
HO,LC23022400017,LA23022300028,CU001767,DD002417,USD,0,2450,2450,0,Y,24/02/2023,24,24,1,15/02/2025,102,123210005,18,,1,1,3,3,,,,983.93,0,0,0,0,756.4,0,,N,1015,N,20,Y,27/04/2024,Y,23/03/2023,A,,,,TMN,27/04/2024,0,15/11/2023,0,0,94008,0,RepoForSale,0,0,
HO,LC23022700001,LA23022300027,CU001757,DD002407,USD,0,3200,3200,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1961.74,0,0,0,0,322.88,0,,N,1005,N,0,Y,19/06/2023,Y,15/03/2023,A,,,,TMN,19/06/2023,0,,0,0,94027,0,,0,0,
HO,LC23022700004,LA23022300006,CU001567,DD002116,USD,0,2750,2750,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1685.88,0,0,0,0,1048.68,0,,N,1013,N,30,Y,01/07/2024,Y,15/03/2023,A,,,,TMN,01/07/2024,0,15/11/2023,0,0,94022,0,RepoForSale,2750,,
HO,LC23022700010,LA23022300003,CU001537,DD002088,USD,0,2950,2950,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1906.7,0,0,0,0,1906.7,0,,N,1010,N,0,Y,16/02/2026,Y,15/03/2023,A,,,,TMN,26/03/2026,0,,0,0,94038,0,,2950,138.16,15
HO,LC23022700011,LA23022200005,CU001425,DD001898,USD,0,2678,2678,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1730.89,0,0,0,0,1325.19,0,,N,1026,N,20,Y,20/12/2024,Y,15/03/2023,A,,,,TMN,20/12/2024,0,15/09/2023,0,0,94059,0,,2678,125.42,15
HO,LC23022700013,LA23022400023,CU002088,DD002781,USD,0,2700,2700,0,Y,27/02/2023,36,36,1,20/02/2026,102,123210005,18,,1,1,3,3,,,,1031.75,0,0,0,0,551.6679932,0,,N,1023,N,0,Y,16/01/2024,Y,20/03/2023,A,,,,TMN,16/01/2024,0,,0,0,94050,0,,0,0,
HO,LC23022700014,LA23022300029,CU001777,DD002432,USD,0,4000,4000,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,2585.25,0,0,0,0,2255.22,0,,N,1019,N,0,Y,30/06/2025,Y,15/03/2023,A,,,,TMN,30/06/2025,0,,0,0,94027,0,,4000,187.34,15
HO,LC23022700015,LA23022500010,CU002237,DD003015,USD,0,2750,2750,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1685.88,0,0,0,0,1406.38,0,,N,1012,N,20,Y,31/03/2025,Y,15/03/2023,A,,,,TMN,31/03/2025,0,15/06/2024,0,0,94049,0,Repossession,2750,125.96,15
HO,LC23022700016,LA23022300014,CU001630,DD002183,USD,0,2950,2950,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1906.7,0,0,0,0,1727.95,0,,N,1021,N,0,Y,24/11/2025,Y,15/03/2023,A,,,,TMN,24/11/2025,0,,0,0,94029,0,,2950,138.16,15
HO,LC23022700018,LA23022400017,CU001997,DD002715,USD,0,2950,2950,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1808.38,0,0,0,0,1570.77,0,,N,1003,N,0,Y,09/06/2025,Y,15/03/2023,A,,,,TMN,09/06/2025,0,,0,0,94007,0,,2950,135.12,15
HO,LC23022700019,LA23022500016,CU002297,DD003084,USD,0,2950,2950,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1808.38,0,0,0,0,1629.8,0,,N,1005,N,0,Y,15/09/2025,Y,15/03/2023,A,,,,TMN,15/09/2025,0,,0,0,94027,0,,2950,135.12,15
HO,LC23022700020,LA23022300002,CU001527,DD002057,USD,0,2700,2700,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1745.22,0,0,0,0,1276.48,0,,N,1026,N,0,Y,05/11/2024,Y,15/03/2023,A,,,,TMN,05/11/2024,0,,0,0,94070,0,,2700,126.45,15
HO,LC23022700022,LA23022100028,CU001247,DD001705,USD,0,2578,2578,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1680.41,0,0,0,0,1117.79,0,,N,1025,N,30,Y,18/08/2024,Y,15/03/2023,A,,,,TMN,18/08/2024,0,15/02/2024,0,0,94071,0,RepoForSale,2578,118.31,15
HO,LC23022700024,LA23022300022,CU001705,DD002315,USD,0,2700,2700,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1761.2,0,0,0,0,432.9864257,0,,N,1026,N,0,Y,17/01/2024,Y,15/03/2023,A,,,,TMN,17/01/2024,0,,0,0,94069,0,RepoForSale,0,0,
HO,LC23022700025,LA23022500009,CU002167,DD003004,USD,0,2950,2950,0,Y,27/02/2023,12,12,1,01/03/2024,102,123210005,18,,1,1,3,3,,,,618.76,0,0,0,0,618.76,0,,N,1015,N,0,N,02/03/2024,Y,01/04/2023,A,,,,MRT,04/03/2024,0,,0,0,94028,0,,0,0,
HO,LC23022700026,LA23022400020,CU002048,DD002757,USD,0,2950,2950,0,Y,27/02/2023,24,24,1,15/02/2025,102,123210005,18,,1,1,3,3,,,,1155.56,0,0,0,0,1066.79,0,,N,1016,N,0,Y,09/12/2024,Y,15/03/2023,A,,,,TMN,09/12/2024,0,,0,0,94027,0,,2950,174.19,15
HO,LC23022700028,LA23022600002,CU002379,DD003247,USD,0,2750,2750,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1685.88,0,0,0,0,1154.1,0,,N,1008,N,15,Y,06/09/2024,Y,15/03/2023,A,,,,TMN,06/09/2024,0,15/07/2023,0,0,94043,0,,2750,125.96,15
HO,LC23022700029,LA23022500015,CU002287,DD003077,USD,0,2400,2400,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1471.16,0,0,0,0,1447.55,0,,N,1003,N,0,Y,10/02/2026,Y,15/03/2023,A,,,,TMN,10/02/2026,0,,0,0,94007,0,,2400,109.93,15
HO,LC23022700031,LA23022400014,CU001925,DD002667,USD,0,4200,4200,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,2574.54,0,0,0,0,1606.57,0,,N,1016,N,0,Y,03/07/2024,Y,15/03/2023,A,,,,TMN,03/07/2024,0,,0,0,94027,0,,4200,,
HO,LC23022700032,LA23022300026,CU001747,DD002399,USD,0,2750,2750,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1685.88,0,0,0,0,1685.88,0,,N,1006,N,0,Y,16/02/2026,Y,15/03/2023,A,,,,TMN,26/03/2026,0,,0,0,94001,0,,2750,125.96,15
HO,LC23022700033,LA23022400027,CU002126,DD002828,USD,0,2750,2750,0,Y,27/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1685.88,0,0,0,0,1495.60743,0,,N,1004,N,40,Y,28/07/2025,Y,15/03/2023,A,,,,WOF,28/07/2025,0,15/11/2023,0,0,94033,0,,2750,125.96,15
